"District","School","GrowthStatus","PctPassingEOGTests","PctFreeReduced","HasStringsProgram","SchoolScore","Grade"
"Chapel Hill-Carrboro Schools","East Chapel Hill High","Exceeded",79.70,20.60,0,87,"A"
"Cumberland County Schools","E E Smith High","Exceeded",43.10,68.20,0,62,"C"
"Charlotte-Mecklenburg Schools","Ashley Park PreK-8 School","Met",37.60,94.00,0,46,"D"
"Chapel Hill-Carrboro Schools","Estes Hills Elementary","Met",74.20,26.10,0,74,"B"
"Charlotte-Mecklenburg Schools","Providence High","Exceeded",92.10,10.10,0,95,"A"
"Chapel Hill-Carrboro Schools","Glenwood Elementary","Met",80.60,26.50,0,81,"B"
"Chapel Hill-Carrboro Schools","McDougle Elementary","Met",73.40,28.30,0,75,"B"
"Charlotte-Mecklenburg Schools","Lebanon Road Elementary","Exceeded",55.60,78.90,0,62,"C"
"Scotland County Schools","North Laurinburg Elementary","Met",49.40,,0,54,"D"
"Chapel Hill-Carrboro Schools","Morris Grove Elementary","Exceeded",81.20,23.00,0,84,"B"
"Charlotte-Mecklenburg Schools","Merry Oaks Elementary","Met",37.70,93.00,0,46,"D"
"Iredell-Statesville Schools","Troutman Middle","NotMet",56.00,58.00,0,58,"C"
"Chapel Hill-Carrboro Schools","Northside Elementary","Met",68.40,38.00,0,69,"C"
"Charlotte-Mecklenburg Schools","William Amos Hough High","Exceeded",78.80,17.80,0,86,"A"
"Chapel Hill-Carrboro Schools","Phillips Middle","Exceeded",80.00,26.20,0,82,"B"
"Guilford County Schools","Vandalia Elementary","Met",33.20,87.80,0,43,"D"
"Chapel Hill-Carrboro Schools","Rashkis Elementary","Met",77.40,29.00,0,78,"B"
"Chapel Hill-Carrboro Schools","Scroggs Elementary","Met",79.90,26.20,0,79,"B"
"Madison County Schools","Laurel Elementary","Met",46.20,76.20,0,53,"D"
"Chapel Hill-Carrboro Schools","Smith Middle","Exceeded",78.80,25.80,0,82,"B"
"Charlotte-Mecklenburg Schools","Albemarle Road Elementary","Met",37.10,93.30,0,46,"D"
"Charter Schools","Research Triangle Charter","Exceeded",41.60,62.90,0,52,"D"
"Charlotte-Mecklenburg Schools","Allenbrook Elementary","Met",47.70,94.70,0,55,"C"
"Onslow County Schools","Jacksonville Commons Middle","NotMet",46.10,53.60,0,51,"D"
"Charlotte-Mecklenburg Schools","Ardrey Kell High","Exceeded",90.20,11.80,0,94,"A"
"Watauga County Schools","Bethel Elementary","Met",48.70,58.80,0,54,"D"
"Charlotte-Mecklenburg Schools","Croft Community Elementary","Exceeded",61.60,42.20,0,67,"C"
"Franklin County Schools","Franklinton Elementary","Met",41.20,80.10,0,48,"D"
"Charlotte-Mecklenburg Schools","Bailey Middle","Exceeded",78.80,20.10,0,82,"B"
"Charlotte-Mecklenburg Schools","Billingsville Elementary","NotMet",31.50,94.60,0,39,"F"
"Charlotte-Mecklenburg Schools","Bruns Academy","Met",24.00,94.30,0,35,"F"
"Charlotte-Mecklenburg Schools","Butler High","Exceeded",66.30,43.60,0,80,"B"
"Charlotte-Mecklenburg Schools","Carmel Middle","Exceeded",71.50,40.70,0,77,"B"
"Wake County Schools","Durant Road Elementary","Exceeded",71.60,35.30,0,76,"B"
"Charlotte-Mecklenburg Schools","Cato Middle College High","N/A",0.00,34.70,0,98,"A"
"Charlotte-Mecklenburg Schools","Chantilly Montessori","Exceeded",75.20,18.70,0,77,"B"
"Onslow County Schools","Summersill Elementary","Met",66.50,58.50,0,70,"B"
"Charlotte-Mecklenburg Schools","Cochrane Collegiate Academy","NotMet",28.20,89.00,0,34,"F"
"Charlotte-Mecklenburg Schools","Community House Middle","Exceeded",83.10,15.70,0,86,"A"
"Cleveland County Schools","Burns Middle","Met",52.20,66.10,0,58,"C"
"Charlotte-Mecklenburg Schools","Crestdale Middle","Exceeded",81.30,24.20,0,83,"B"
"Charter Schools","Charlotte Secondary","Met",57.60,21.60,0,63,"C"
"Charlotte-Mecklenburg Schools","Piedmont IB Middle","Exceeded",83.30,40.10,0,87,"A"
"Charlotte-Mecklenburg Schools","David Cox Road Elementary","Exceeded",42.50,67.20,0,51,"D"
"Cumberland County Schools","South View High","Met",44.90,54.80,0,62,"C"
"Charlotte-Mecklenburg Schools","Devonshire Elementary","Met",42.80,,0,51,"D"
"Charlotte-Mecklenburg Schools","Druid Hills Academy","Exceeded",31.90,,0,45,"D"
"Charlotte-Mecklenburg Schools","East Mecklenburg High","Met",60.20,61.10,0,71,"B"
"Charlotte-Mecklenburg Schools","Elon Park Elementary","Met",84.40,7.00,0,83,"B"
"Charlotte-Mecklenburg Schools","First Ward Creative Arts Academy","Met",44.40,80.00,0,52,"D"
"Charlotte-Mecklenburg Schools","Greenway Park Elementary","Exceeded",49.70,81.40,0,58,"C"
"Charlotte-Mecklenburg Schools","Harding University High","Exceeded",36.80,81.70,0,59,"C"
"Charlotte-Mecklenburg Schools","Hawk Ridge Elementary","Met",87.50,12.40,0,85,"A"
"Charlotte-Mecklenburg Schools","Hawthorne High","Met",22.40,89.70,0,51,"D"
"Granville County Schools","Stovall-Shaw Elementary","Met",49.30,64.50,0,55,"C"
"Charlotte-Mecklenburg Schools","Phillip O Berry Academy of Technology","Exceeded",67.50,68.50,0,77,"B"
"Cleveland County Schools","Jefferson Elementary","Met",64.40,60.10,0,67,"C"
"Charlotte-Mecklenburg Schools","Hidden Valley Elementary","Exceeded",40.80,,0,50,"D"
"Charlotte-Mecklenburg Schools","Highland Mill Montessori","Exceeded",69.40,33.50,0,74,"B"
"Charlotte-Mecklenburg Schools","Hopewell High","NotMet",50.70,46.70,0,65,"C"
"Charlotte-Mecklenburg Schools","Hornets Nest Elementary","Exceeded",46.30,79.70,0,55,"C"
"Edenton-Chowan Schools","Chowan Middle","NotMet",46.70,64.80,0,51,"D"
"Charlotte-Mecklenburg Schools","Statesville Road Elementary","Exceeded",45.50,87.30,0,55,"C"
"Cleveland County Schools","Casar Elementary","Exceeded",65.50,62.80,0,70,"B"
"Charlotte-Mecklenburg Schools","Shamrock Gardens Elementary","Exceeded",41.60,77.60,0,51,"D"
"Charlotte-Mecklenburg Schools","Huntingtowne Farms Elementary","NotMet",44.70,86.30,0,49,"D"
"Rowan-Salisbury Schools","North Rowan Elementary","NotMet",27.10,78.30,0,33,"F"
"Charlotte-Mecklenburg Schools","Irwin Academic Center","Met",87.50,26.20,0,88,"A"
"Charlotte-Mecklenburg Schools","James Martin Middle","Exceeded",37.50,80.60,0,48,"D"
"Charlotte-Mecklenburg Schools","Joseph W Grier Academy","Met",61.30,82.90,0,65,"C"
"Regional Schools","Northeast Regional School - Biotech/Agri","Met",76.50,35.80,0,78,"B"
"Charlotte-Mecklenburg Schools","Lake Wylie Elementary","Met",55.30,60.00,0,60,"C"
"Charlotte-Mecklenburg Schools","Lansdowne Elementary","NotMet",55.90,50.50,0,58,"C"
"Rowan-Salisbury Schools","Southeast Middle","NotMet",47.00,56.50,0,50,"D"
"Charlotte-Mecklenburg Schools","McAlpine Elementary","Met",73.50,25.10,0,75,"B"
"Charlotte-Mecklenburg Schools","Mint Hill Middle","NotMet",64.90,46.20,0,63,"C"
"Onslow County Schools","Southwest High","Met",50.60,44.50,0,71,"B"
"Charlotte-Mecklenburg Schools","McKee Road Elementary","Met",85.90,16.00,0,85,"A"
"Robeson County Schools","Southside/Ashpole Elem","NotMet",34.00,83.50,0,41,"D"
"Charter Schools","Exploris Middle School","Exceeded",90.40,7.00,0,91,"A"
"Charlotte-Mecklenburg Schools","Morehead STEM Academy","Met",71.50,59.00,0,72,"B"
"Charlotte-Mecklenburg Schools","Myers Park High","Exceeded",76.90,31.80,0,84,"B"
"Charlotte-Mecklenburg Schools","Nations Ford Elementary","Met",32.60,91.40,0,40,"D"
"Guilford County Schools","Middle College at GTCC-GSO","Exceeded",73.70,57.80,0,85,"A"
"Charlotte-Mecklenburg Schools","Rama Road Elementary","Exceeded",46.40,82.10,0,56,"C"
"Thomasville City Schools","Thomasville Middle","Exceeded",40.50,87.30,0,51,"D"
"Charlotte-Mecklenburg Schools","Newell Elementary","Met",50.10,89.70,0,57,"C"
"Cumberland County Schools","C Wayne Collier Elementary","Exceeded",51.00,63.10,0,58,"C"
"Charlotte-Mecklenburg Schools","Northridge Middle","Exceeded",44.00,82.30,0,53,"D"
"Charlotte-Mecklenburg Schools","Northwest School of the Arts","Exceeded",69.10,42.00,0,77,"B"
"Charlotte-Mecklenburg Schools","Walter G Byers School","Exceeded",29.70,93.00,0,41,"D"
"Charlotte-Mecklenburg Schools","Oakdale Elementary","Met",40.80,83.80,0,48,"D"
"Charlotte-Mecklenburg Schools","West Charlotte High","Met",28.10,86.80,0,52,"D"
"Charlotte-Mecklenburg Schools","Pinewood Elementary","Exceeded",49.40,80.90,0,58,"C"
"Durham Public Schools","Burton Elementary","Exceeded",40.40,87.60,0,50,"D"
"Charlotte-Mecklenburg Schools","Olympic High -Intl Bus and Comm Studies","Exceeded",43.80,65.10,0,62,"C"
"Wake County Schools","Fuquay-Varina High","Exceeded",61.10,29.60,0,74,"B"
"Charlotte-Mecklenburg Schools","Olympic High-Math Eng Tech Science","Exceeded",75.60,40.10,0,82,"B"
"Charlotte-Mecklenburg Schools","Performance Learning Center","Met",58.80,39.40,0,77,"B"
"Charlotte-Mecklenburg Schools","Pineville Elementary","Met",53.60,59.50,0,58,"C"
"Charlotte-Mecklenburg Schools","Piney Grove Elementary","NotMet",56.20,79.50,0,57,"C"
"Charlotte-Mecklenburg Schools","Polo Ridge Elementary","Met",88.20,5.70,0,87,"A"
"Charlotte-Mecklenburg Schools","Providence Spring Elementary","Exceeded",,,0,95,"A"
"Wilkes County Schools","Ronda-Clingman Elementary","Exceeded",59.10,54.50,0,65,"C"
"Charlotte-Mecklenburg Schools","Quail Hollow Middle","Met",47.10,70.80,0,52,"D"
"Charlotte-Mecklenburg Schools","Ridge Road Middle","Exceeded",58.60,52.40,0,67,"C"
"Wilkes County Schools","Mountain View Elementary","Exceeded",59.10,69.60,0,65,"C"
"Union County Public Schools","Wesley Chapel Elementary","Exceeded",81.00,16.00,0,83,"B"
"Charlotte-Mecklenburg Schools","River Gate Elementary","Met",62.30,40.40,0,66,"C"
"Charlotte-Mecklenburg Schools","Rocky River High","Exceeded",47.80,68.30,0,67,"C"
"Charlotte-Mecklenburg Schools","Sharon Elementary","NotMet",82.90,17.00,0,80,"B"
"Charlotte-Mecklenburg Schools","South Charlotte Middle","Exceeded",83.40,16.90,0,85,"A"
"Charlotte-Mecklenburg Schools","South Mecklenburg High","Exceeded",68.10,45.70,0,80,"B"
"Charlotte-Mecklenburg Schools","Steele Creek Elementary","NotMet",50.90,73.70,0,53,"D"
"Charlotte-Mecklenburg Schools","Stoney Creek Elementary","NotMet",48.70,68.20,0,52,"D"
"Charlotte-Mecklenburg Schools","Thomasboro Academy","Met",32.40,93.50,0,42,"D"
"Charlotte-Mecklenburg Schools","Torrence Creek Elementary","Exceeded",73.40,22.30,0,77,"B"
"Charlotte-Mecklenburg Schools","University Meadows Elementary","NotMet",52.00,75.00,0,55,"C"
"Wake County Schools","Fuller Elementary","Exceeded",66.80,39.70,1,72,"B"
"Charlotte-Mecklenburg Schools","University Park Creative Arts","NotMet",46.20,82.00,0,50,"D"
"Charlotte-Mecklenburg Schools","Waddell Language Academy","Exceeded",77.00,31.40,0,79,"B"
"Charlotte-Mecklenburg Schools","Whitewater Middle","NotMet",30.30,85.30,0,36,"F"
"Wake County Schools","Powell Elementary","Met",49.40,53.50,1,56,"C"
"Guilford County Schools","Allen Middle","Exceeded",39.60,90.00,0,51,"D"
"Charlotte-Mecklenburg Schools","West Mecklenburg High","Exceeded",39.20,77.80,0,62,"C"
"Johnston County Schools","North Johnston Middle","Exceeded",50.80,58.60,0,59,"C"
"Charlotte-Mecklenburg Schools","Whitewater Academy","Exceeded",46.90,85.00,0,56,"C"
"Charlotte-Mecklenburg Schools","Winterfield Elementary","NotMet",26.80,92.90,0,35,"F"
"Dare County Schools","Cape Hatteras Secondary School","NotMet",65.40,49.30,0,68,"C"
"Charter Schools","Arapahoe Charter School","NotMet",44.40,59.50,0,49,"D"
"Charter Schools","Aristotle Preparatory Academy","Met",44.40,73.60,0,50,"D"
"Charter Schools","Bear Grass","Met",55.90,14.00,0,65,"C"
"Wilson County Schools","Rock Ridge Elementary","Exceeded",78.40,49.30,0,81,"B"
"Charter Schools","Bethel Hill Charter","Met",60.30,36.10,0,63,"C"
"Charter Schools","Bridges Academy","Met",57.50,64.40,0,61,"C"
"Onslow County Schools","Stateside Elementary","Exceeded",68.80,34.20,0,73,"B"
"Chatham County Schools","North Chatham Elementary","Exceeded",55.80,43.00,0,63,"C"
"Charter Schools","Cabarrus Charter Academy","Exceeded",72.00,16.60,0,75,"B"
"Charter Schools","Carolina International School","Exceeded",66.30,24.00,0,70,"B"
"Charter Schools","Carter Community Charter","Exceeded",41.00,87.50,0,51,"D"
"Nash-Rocky Mount Schools","D S Johnson Elementary","Met",22.60,93.90,0,35,"F"
"Jones County Schools","Jones Middle","Exceeded",58.80,79.20,0,65,"C"
"Charter Schools","Carter G Woodson School","Met",22.80,89.30,0,37,"F"
"Guilford County Schools","Triangle Lake Montessori Elem","Met",53.70,62.00,0,58,"C"
"Charter Schools","Casa Esperanza Montessori Charter School","Exceeded",77.10,18.60,0,79,"B"
"Charter Schools","Central Park School For Child","Met",75.70,9.80,0,76,"B"
"Onslow County Schools","Clyde Erwin Elementary","Exceeded",47.10,74.60,0,55,"C"
"Charter Schools","Charter Day School","Exceeded",72.10,35.60,0,75,"B"
"Charter Schools","Chatham Charter","Met",70.50,15.00,0,71,"B"
"Guilford County Schools","Pilot Elementary","Met",53.30,57.60,0,57,"C"
"Charter Schools","Children's Village Academy","Exceeded",24.80,94.60,0,37,"F"
"Durham Public Schools","Sherwood Githens Middle","Met",36.20,70.40,0,43,"D"
"Charter Schools","Clover Garden","Met",64.10,31.70,0,68,"C"
"Charter Schools","Coastal Academy for Technology and Scien","N/A",50.00,52.30,0,42,"D"
"McDowell County Schools","Glenwood Elementary","Met",59.00,61.30,0,63,"C"
"Charter Schools","College Prep and Leadership Academy","Met",38.30,79.60,0,46,"D"
"Charter Schools","Columbus Charter School","Met",61.70,41.80,0,64,"C"
"Charter Schools","North East Carolina Prep","NotMet",26.30,43.20,0,31,"F"
"Charter Schools","Community Charter School","NotMet",33.30,55.60,0,40,"D"
"Guilford County Schools","Oak Ridge Elementary","Met",86.30,11.30,0,86,"A"
"Charter Schools","Community School of Davidson","Exceeded",84.80,,0,87,"A"
"Charter Schools","Cornerstone Charter Academy-CFA","Met",66.70,13.30,0,68,"C"
"Edenton-Chowan Schools","John A Holmes High","NotMet",44.10,58.30,0,58,"C"
"Charter Schools","Corvian Community School","Met",78.50,,0,78,"B"
"Charter Schools","Crosscreek Charter School","Met",53.60,13.20,0,58,"C"
"Charter Schools","Crossnore Academy","Met",50.00,87.90,0,60,"C"
"Charter Schools","Crossroads Charter High","NotMet",22.20,88.00,0,35,"F"
"Charter Schools","Dillard Academy","Met",19.60,94.70,0,31,"F"
"Charter Schools","East Wake Academy","Exceeded",76.00,16.90,0,81,"B"
"Charter Schools","Endeavor Charter","Exceeded",90.00,,0,90,"A"
"Charter Schools","Evergreen Community Charter","NotMet",75.80,38.80,0,72,"B"
"Charter Schools","Falls Lake Academy","NotMet",61.40,19.00,0,63,"C"
"Rutherford County Schools","Forest City-Dunbar Elementary School","NotMet",50.30,93.20,0,54,"D"
"Charter Schools","Flemington Academy","N/A",23.30,78.10,0,26,"F"
"Columbus County Schools","Williams Township","Met",50.60,65.60,0,57,"C"
"Charter Schools","Forsyth Academy","Met",42.00,71.90,0,50,"D"
"Charter Schools","Francine Delany New School","Exceeded",78.80,48.80,0,81,"B"
"Pasquotank County Schools","J C Sawyer Elementary","Met",49.90,68.20,0,55,"C"
"Charter Schools","Franklin Academy","Exceeded",77.90,8.60,0,83,"B"
"Pender County Schools","Pender High","Exceeded",43.40,71.40,0,64,"C"
"Edgecombe County Public School","Tarboro High","Met",29.50,71.40,0,56,"C"
"Durham Public Schools","Easley Elementary","Met",63.30,27.70,0,65,"C"
"Charter Schools","Global Scholars Academy","Exceeded",44.40,85.20,0,54,"D"
"Wake County Schools","Knightdale High","Exceeded",44.70,55.50,0,64,"C"
"Johnston County Schools","South Smithfield Elementary","Met",43.90,79.20,0,51,"D"
"Charter Schools","Grandfather Academy","N/A",21.20,18.50,0,15,"F"
"Davidson County Schools","Friedberg Elementary","Met",71.50,30.80,0,73,"B"
"Charter Schools","Gray Stone Day","NotMet",86.60,,0,87,"A"
"Charter Schools","Greensboro Academy","NotMet",76.30,7.30,0,75,"B"
"Franklin County Schools","Laurel Mill Elementary","NotMet",40.80,81.00,0,46,"D"
"Cleveland County Schools","Crest Middle","Met",56.30,57.80,0,61,"C"
"Charter Schools","Guilford Preparatory Academy","Met",42.10,80.60,0,49,"D"
"Charter Schools","Haliwa-Saponi Tribal School","NotMet",21.60,79.10,0,34,"F"
"Charter Schools","Healthy Start Academy","Met",23.50,62.50,0,35,"F"
"Iredell-Statesville Schools","Scotts Elementary","NotMet",47.70,66.00,0,50,"D"
"Charter Schools","Henderson Collegiate","Exceeded",70.80,87.20,0,77,"B"
"Gaston County Schools","McAdenville Elementary","Met",47.10,63.10,0,52,"D"
"Charter Schools","Hope Elementary","NotMet",12.20,93.10,0,22,"F"
"Charter Schools","Invest Collegiate","Met",61.50,,0,63,"C"
"Randolph County Schools","Randolph Early College High","Exceeded",78.90,44.40,0,87,"A"
"Charter Schools","Island Montessori Charter","NotMet",44.40,8.00,0,47,"D"
"Charter Schools","Kennedy Charter","Exceeded",29.80,87.90,0,45,"D"
"Charter Schools","Kestrel Heights School","NotMet",49.80,8.90,0,53,"D"
"Charter Schools","KIPP Charlotte","Exceeded",45.50,70.70,0,54,"D"
"Martin County Schools","Edna Andrews Elementary","Met",39.20,87.20,0,46,"D"
"Currituck County Schools","Currituck County High","NotMet",49.20,30.40,0,61,"C"
"Charter Schools","Langtree Charter Academy","Exceeded",73.50,8.00,0,76,"B"
"Charter Schools","Lincoln Charter School","Met",79.20,,0,81,"B"
"Charter Schools","Longleaf School of the Arts","Met",75.70,,0,76,"B"
"Charter Schools","Magellan Charter","Exceeded",,,0,95,"A"
"Charter Schools","Maureen Joy Charter School","Met",44.50,79.30,0,53,"D"
"Charter Schools","Metrolina Reg Scholars Academy","Met",,,0,94,"A"
"Craven County Schools","J T Barber Elementary","Exceeded",50.50,86.80,0,58,"C"
"Charter Schools","Millennium Charter Academy","Exceeded",69.00,,0,72,"B"
"Charter Schools","Mountain Discovery","Exceeded",76.60,50.00,0,79,"B"
"Cumberland County Schools","Beaver Dam Elementary","Met",86.40,57.50,0,85,"A"
"Charter Schools","Mountain Island Charter","Exceeded",72.80,,0,75,"B"
"Charter Schools","Neuse Charter School","Exceeded",69.40,12.00,0,75,"B"
"Surry County Schools","Rockford Elementary","Exceeded",55.40,75.70,0,61,"C"
"Charter Schools","New Dimensions","Met",55.50,28.40,0,58,"C"
"Charter Schools","Orange Charter","Met",77.00,8.00,0,78,"B"
"Granville County Schools","Tar River Elementary","NotMet",68.10,42.40,0,68,"C"
"Charter Schools","Oxford Preparatory High","NotMet",53.20,23.20,0,54,"D"
"Charter Schools","Paul R. Brown Leadership Academy","NotMet",14.40,,0,23,"F"
"Johnston County Schools","Smithfield-Selma High","NotMet",39.00,67.00,0,53,"D"
"Charter Schools","Phoenix Academy","NotMet",56.10,10.00,0,57,"C"
"Charter Schools","Piedmont Community Charter School","Met",62.40,11.10,0,68,"C"
"Charter Schools","Pine Lake Preparatory","NotMet",81.60,,0,77,"B"
"Charter Schools","Pinnacle Classical Academy","Met",67.30,13.90,0,69,"C"
"Charter Schools","PreEminent Charter","NotMet",29.70,71.60,0,36,"F"
"McDowell County Schools","West McDowell Junior High","Met",57.20,58.90,0,62,"C"
"Charter Schools","Quality Education Academy","Met",37.20,84.40,0,49,"D"
"Yadkin County Schools","Starmount Middle","NotMet",53.00,56.70,0,54,"D"
"Guilford County Schools","Northeast Guilford High","Met",33.80,67.40,0,59,"C"
"Charter Schools","Queen's Grant Community School","Exceeded",69.20,15.20,0,75,"B"
"Charter Schools","Quest Academy","Met",,,0,94,"A"
"Charter Schools","Raleigh Charter High School","Exceeded",,,0,98,"A"
"Charter Schools","Research Triangle High","Met",72.00,11.50,0,74,"B"
"Orange County Schools","Gravelly Hill Middle","Met",53.40,43.40,0,58,"C"
"Charter Schools","River Mill Academy","Met",62.10,23.90,0,69,"C"
"Charter Schools","Roxboro Community School","NotMet",71.00,15.10,0,72,"B"
"Charter Schools","Sallie B Howard School","Exceeded",46.60,,0,56,"C"
"Charter Schools","SEGS (STEM Ed Global Society) Academy","Met",12.90,78.30,0,25,"F"
"Charter Schools","Socrates Academy","Met",85.10,15.70,0,85,"A"
"Charter Schools","Southeastern Academy","Exceeded",69.10,,0,73,"B"
"Charter Schools","Southern Wake Academy","Met",51.20,,0,63,"C"
"Guilford County Schools","Gillespie Park Elementary","Met",30.50,,0,40,"D"
"Charter Schools","STARS Charter","Met",49.30,31.10,0,54,"D"
"Charter Schools","Success Institute Charter","Met",21.30,90.30,0,33,"F"
"Charter Schools","Sugar Creek Charter","Exceeded",52.50,87.20,0,60,"C"
"Charter Schools","Summerfield Charter Academy","NotMet",68.60,13.00,0,67,"C"
"Sampson County Schools","Sampson Early College High","Exceeded",79.90,57.60,0,86,"A"
"Charter Schools","Summit Charter","NotMet",67.90,20.10,0,67,"C"
"Durham Public Schools","Holt Elementary","Exceeded",51.50,87.80,0,59,"C"
"Charter Schools","The Academy of Moore County","Met",69.10,39.90,0,71,"B"
"Charter Schools","The Arts Based School","NotMet",69.80,20.70,0,69,"C"
"Charter Schools","The Institute Development Young Leaders","NotMet",7.60,44.10,0,19,"F"
"Charter Schools","The Mountain Community Sch","Exceeded",64.40,7.50,0,69,"C"
"Charter Schools","The North Carolina Leadership Academy","Met",75.90,10.30,0,77,"B"
"Cumberland County Schools","Westarea Elementary","Exceeded",50.60,88.50,0,59,"C"
"Charter Schools","Thomas Jefferson Class Academy","Exceeded",84.40,16.40,0,86,"A"
"Guilford County Schools","EP Pearce Elementary","Met",77.60,19.20,0,76,"B"
"Charter Schools","Tiller School","NotMet",90.00,24.50,0,86,"A"
"Wake County Schools","Zebulon Middle","NotMet",50.00,62.20,1,54,"D"
"Charter Schools","Torchlight Academy","Exceeded",41.40,89.80,0,50,"D"
"Charter Schools","Triad Math and Science Academy","NotMet",56.50,52.30,0,58,"C"
"Charter Schools","Triangle Math and Science Academy","Exceeded",84.90,11.50,0,85,"A"
"Charter Schools","Two Rivers Community School","NotMet",75.30,38.90,0,74,"B"
"Gaston County Schools","Bessemer City Middle","Met",35.50,76.50,0,43,"D"
"Charter Schools","Union Academy","NotMet",77.80,11.40,0,78,"B"
"Charter Schools","Uwharrie Charter Academy","Met",52.90,15.20,0,57,"C"
"Charter Schools","Vance Charter School","NotMet",66.10,18.70,0,66,"C"
"Charter Schools","Washington Montessori","Met",58.40,28.00,0,62,"C"
"Charter Schools","Water's Edge Village School","N/A",57.90,23.50,0,56,"C"
"Wake County Schools","Jeffreys Grove Elementary","Met",66.20,31.70,0,69,"C"
"Charter Schools","Willow Oak Montessori","Met",69.00,9.90,0,71,"B"
"Charter Schools","Wilmington Preparatory Academy","Exceeded",46.70,50.40,0,55,"C"
"New Hanover County Schools","A H Snipes Academy of Arts/Des","Exceeded",31.40,,0,43,"D"
"Charter Schools","Woods Charter","Exceeded",88.30,,0,89,"A"
"New Hanover County Schools","Wrightsville Beach Elem","Met",87.80,10.40,0,86,"A"
"Charter Schools","Z.E.C.A. School of Arts and Technology","NotMet",17.80,83.50,0,28,"F"
"Forsyth County Schools","Southwest Elementary","Met",70.20,46.00,0,72,"B"
"Chatham County Schools","Bonlee School","Met",56.40,55.10,0,61,"C"
"Chatham County Schools","Chatham Central High","Exceeded",64.40,34.50,0,74,"B"
"Watauga County Schools","Mabel Elementary","Met",64.70,57.80,0,68,"C"
"Chatham County Schools","Chatham Middle","Exceeded",36.00,88.60,0,47,"D"
"Chatham County Schools","Horton Middle","Met",55.80,45.80,0,59,"C"
"Forsyth County Schools","Clemmons Middle School","Exceeded",54.70,47.80,0,61,"C"
"Chatham County Schools","J S Waters School","Exceeded",61.00,50.70,0,66,"C"
"Guilford County Schools","Pleasant Garden Elementary","Exceeded",66.00,49.10,0,70,"B"
"Guilford County Schools","Madison Elementary","NotMet",36.00,64.60,0,40,"D"
"Chatham County Schools","Jordan Matthews High","Exceeded",50.40,67.70,0,67,"C"
"Chatham County Schools","Margaret B. Pollard Middle","Exceeded",70.30,28.70,0,76,"B"
"Chatham County Schools","Moncure School","Exceeded",62.60,44.00,0,68,"C"
"Pender County Schools","Topsail Middle","Exceeded",70.20,31.60,0,76,"B"
"Chatham County Schools","Northwood High","Exceeded",69.00,27.80,0,79,"B"
"Henderson County Schools","Fletcher Elementary","NotMet",66.20,43.20,0,65,"C"
"Chatham County Schools","Perry W Harrison Elementary","Met",71.50,25.00,0,74,"B"
"Chatham County Schools","Pittsboro Elementary","Met",57.50,44.20,0,62,"C"
"Guilford County Schools","UNCG Early/Middle College","Met",67.70,50.00,0,67,"C"
"Chatham County Schools","Siler City Elementary","Met",47.60,84.60,0,54,"D"
"Chatham County Schools","Silk Hope School","Met",66.80,40.40,0,70,"B"
"Guilford County Schools","Grimsley High","Exceeded",67.80,39.60,0,80,"B"
"Chatham County Schools","Virginia Cross Elementary","Met",41.80,94.80,0,50,"D"
"Nash-Rocky Mount Schools","Benvenue Elementary","NotMet",44.70,75.00,0,48,"D"
"Cherokee County Schools","Andrews Elementary","Exceeded",44.40,71.80,0,54,"D"
"Cherokee County Schools","Andrews High","NotMet",49.60,55.10,0,64,"C"
"Cherokee County Schools","Andrews Middle","NotMet",47.00,67.90,0,51,"D"
"Wake County Schools","Carver Elementary","Exceeded",57.40,54.00,0,64,"C"
"Wake County Schools","Apex Elementary","NotMet",76.30,33.50,0,74,"B"
"Cherokee County Schools","Hiwassee Dam Elementary/Middle","Met",45.50,67.90,0,51,"D"
"Cherokee County Schools","Hiwassee Dam High","Met",57.90,54.80,0,74,"B"
"Cherokee County Schools","Marble Elementary","Met",58.00,74.20,0,61,"C"
"Columbus County Schools","West Columbus High","Met",50.70,72.40,0,64,"C"
"Cherokee County Schools","Martins Creek Elementary/Mid","Met",60.80,77.60,0,64,"C"
"Cherokee County Schools","Murphy Elementary","Met",60.90,61.30,0,65,"C"
"Cherokee County Schools","Murphy Middle","Met",55.70,65.10,0,60,"C"
"Cherokee County Schools","Peachtree Elementary","Met",59.10,71.60,0,64,"C"
"Forsyth County Schools","Jacket Academy at Carver","N/A",0.00,81.30,0,97,"A"
"Columbus County Schools","South Columbus High","Met",49.10,52.90,0,65,"C"
"Cherokee County Schools","Tri-County Early College High","NotMet",73.70,39.40,0,79,"B"
"Clay County Schools","Hayesville Elementary","NotMet",56.70,59.90,0,59,"C"
"Clay County Schools","Hayesville Middle","Met",54.60,58.90,0,61,"C"
"Cleveland County Schools","Bethware Elementary","NotMet",70.30,65.90,0,68,"C"
"Cleveland County Schools","Burns High","Met",52.20,57.80,0,66,"C"
"Cleveland County Schools","Cleveland ECHS","Met",75.80,63.20,0,82,"B"
"Wayne County Public Schools","Grantham","Exceeded",54.40,63.40,0,62,"C"
"Cleveland County Schools","Crest High","Met",58.90,48.10,0,70,"B"
"Sampson County Schools","Union Intermediate","Met",50.30,85.00,0,56,"C"
"Cleveland County Schools","East Elementary","Met",75.30,75.70,0,77,"B"
"Forsyth County Schools","Hall-Woodward Elementary","NotMet",32.80,,0,40,"D"
"Cleveland County Schools","Fallston Elementary","Met",61.60,65.70,0,66,"C"
